Document_Name;Code;Segment
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the word ”Ukrainian“, ​judging by archival documents, originally referred to frontier guards who ​protected the external borders
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;under the Polish–Lithuanian Commonwealth, ​the old orders were restored, and social and religious oppression intensified
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the lands on the left bank, taken under the protection ​of the unified state, saw rapid development
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;people who ​spoke the same language and had the same faith
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;people in Malorossia were not ​faced with a choice of whom to side with
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;People of all orders and degrees considered ​themselves Russian and Orthodox
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Cossack senior officers belonging to the nobility would reach the heights ​of political, diplomatic, and military careers in Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Graduates of Kiev-Mohyla ​Academy played a leading role in church life
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Malorussians in many ways ​helped build a big common country – its statehood, culture, and science
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;during the Soviet period, natives ​of Ukraine held major, including the highest, posts in the leadership of the unified ​state
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Nikita Khrushchev and Leonid Brezhnev, whose party ​biography was most closely associated with Ukraine, led the Communist Party ​of the Soviet Union (CPSU) for almost 30 years
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;Russia incorporated Crimea and the lands of the Black Sea region, which ​became known as Novorossiya
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;populated by people from all ​of the Russian provinces
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;The incorporation of the western Russian lands into the single state was not ​merely the result of political and diplomatic decisions
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;common faith, shared cultural traditions
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;language similarity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;as early as the beginning ​of the 17th century, one of the hierarchs of the Uniate Church, Joseph Rutsky, ​communicated to Rome that people in Moscovia called Russians from ​the Polish-Lithuanian Commonwealth their brothers, that their written language ​was absolutely identical, and differences in the vernacular were insignificant
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;Many centuries of fragmentation and living within different states naturally ​brought about regional language peculiarities, resulting in the emergence ​of dialects
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Their works ​are our common literary and cultural heritage.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Taras Shevchenko wrote poetry ​in the Ukrainian language, and prose mainly in Russian.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;The books of Nikolay ​Gogol, a Russian patriot and native of Poltavshchyna, are written in Russian, ​bristling with Malorussian folk sayings and motifs
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;How can this heritage be ​divided between Russia and Ukraine?
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;The south-western lands of the Russian Empire, Malorussia and Novorossiya, ​and the Crimea developed as ethnically and religiously diverse entities. Crimean ​Tatars, Armenians, Greeks, Jews, Karaites, Krymchaks, Bulgarians, Poles, Serbs, ​Germans, and other peoples lived here. They all preserved their faith, traditions, ​and customs.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;I am not going to idealise anything
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;it is important to be mindful of the historical context
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;There is objective ​evidence that the Russian Empire was witnessing an active process ​of development of the Malorussian cultural identity within the greater Russian ​nation, which united the Velikorussians, the Malorussians and the Belorussians
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the idea of Ukrainian people as a nation separate from ​the Russians started to form
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;there was no historical basis
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;it declared the creation of the Ukrainian People's Republic ​(UPR) as part of Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the Central Rada proclaimed ​Ukraine independent in its Fourth Universal
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;The declared sovereignty did not last long
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;pretext for occupation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;Ukraine is to take the lead ​in the formation of an All-Russian Federation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Symon Petliura (portrayed as one of the ”heroes“ in today's ​Ukraine) concluded secret conventions on behalf of the UPR Directorate, giving ​up – in exchange for military support – Galicia and Western Volhynia lands ​to Poland
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;quasi-state formations that ​emerged across the former Russian Empire at the time of the Civil War ​and turbulence were inherently unstable
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Lenin insisted ​that they act as part of Soviet Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;one government for all of Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the western lands of the former Russian Empire ​were ceded to Poland
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The areas were subjected to harsh ​Polonisation, local culture and traditions suppressed
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;radical groups of Ukrainian nationalists used this as a pretext for terror not only ​against Polish, but also against Jewish and Russian populations
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;when the USSR was created, with the Ukrainian Soviet Socialist ​Republic becoming one of its founders
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Lenin's plan to form ​a union state as a federation of equal republics
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;parade ​of sovereignties
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;a rather fierce debate among ​the Bolshevik leaders resulted in the implementation of Lenin's plan to form ​a union state as a federation of equal republics
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;The right for the republics ​to freely secede from the Union was included in the text of the Declaration ​on the Creation of the Union of Soviet Socialist Republics
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;By doing so, the authors planted ​in the foundation of our statehood the most dangerous time bomb, which ​exploded the moment the safety mechanism provided by the leading role ​of the CPSU was gone, the party itself collapsing from within
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the USSR as a subject of international law and a geopolitical ​reality no longer existed
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;Ukraine never signed or ratified the CIS ​Charter adopted back in 1993
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;localization policy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;ideologists of Ukrainian ​nationalism
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;The localization policy undoubtedly played a major role in the development ​and consolidation of the Ukrainian culture, language and identity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;under the guise of combating the so-called Russian great-power ​chauvinism, Ukrainization was often imposed on those who did not see ​themselves as Ukrainians
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;Soviet national policy secured at the state level ​the provision on three separate Slavic peoples: Russian, Ukrainian ​and Belorussian, instead of the large Russian nation, a triune people comprising ​Velikorussians, Malorussians and Belorussians
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Russian, Ukrainian ​and Belorussian, instead of the large Russian nation,
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;In 1954, the Crimean Region ​of the RSFSR was given to the Ukrainian SSR, in gross violation of legal norms ​that were in force at the time
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;In 1948, Zmeyiniy Island (Snake Island) ​in the Black Sea became part of Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the destiny of Carpathian Ruthenia, which became part ​of Czechoslovakia following the breakup of Austria-Hungary
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;Rusins made up ​a considerable share of local population
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the congress ​of the Orthodox population of the region voted for the inclusion of Carpathian ​Ruthenia in the RSFSR or, as a separate Carpathian republic, in the USSR proper
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the choice of people was ignored
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the historical act ​of the reunification of Carpathian Ukraine ”with its ancient motherland, ​Ukraine“ – as The Pravda newspaper put it – was announced
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;modern Ukraine is entirely the product of the Soviet era
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;it was shaped – for a significant part – on the lands ​of historical Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;it is enough to look at the boundaries ​of the lands reunited with the Russian state in the 17th century and the territory ​of the Ukrainian SSR when it left the Soviet Union
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The Bolsheviks treated the Russian people as inexhaustible material for their ​social experiments
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;They dreamt of a world revolution that would wipe out ​national states
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;territorial gifts
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;It is no longer important what exactly the idea ​of the Bolshevik leaders who were chopping the country into pieces was
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;We can ​disagree about minor details, background and logics behind certain decisions
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;One fact is crystal clear: Russia was robbed, indeed
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;Russia was robbed
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;When working on this article, I relied on open-source documents that contain ​well-known facts rather than on some secret records
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The leaders of modern ​Ukraine and their external ”patrons“ prefer to overlook these facts
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;They do not ​miss a chance, however, both inside the country and abroad, to condemn ” ​the crimes of the Soviet regime
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;listing among them events with which neither ​the CPSU, nor the USSR, let alone modern Russia, have anything to do
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;Bolsheviks' efforts to detach from Russia its historical ​territories are not considered a crime
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;inside the USSR, borders between republics were never seen as state ​borders
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;they were nominal within a single country
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;while featuring all ​the attributes of a federation, was highly centralized
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;people, found themselves abroad overnight, taken away, this time ​indeed, from their historical motherland
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;some part of a people in the process of its development, ​influenced by a number of reasons and historical circumstances, can become ​aware of itself as a separate nation at a certain moment
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;with respect
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;You want to establish a state of your own: you are welcome!
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;every decision must be legitimate
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the republics that were founders of the Union, ​having denounced the 1922 Union Treaty, must return to the boundaries they ​had had before joining the Soviet Union
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;other territorial acquisitions are ​subject to discussion, negotiations, given that the ground has been revoked
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;when you leave, take what you brought with you
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;in disregard of people's views
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The Russian Federation recognized the new geopolitical realities: and not only ​recognized, but, indeed, did a lot for Ukraine to establish itself as an independent ​country
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;we have ​provided considerable support to Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;If economic ties between our ​countries had been retained, Ukraine would enjoy the benefit of tens of billions ​of dollars
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Ukraine and Russia have developed as a single economic system over decades ​and centuries
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;profound cooperation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;an example ​for the European Union to look up to
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;natural complementary economic ​partners
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;strengthen competitive advantages, ​increasing the potential of both countries
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Ukraine used to possess great potential
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Who is to blame for this?
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Is it the people of Ukraine's fault?
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The feelings of millions of people ​who treat Russia not just well but with great affection, just as we feel about ​Ukraine, remain the same
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;They brought tangible benefits ​to people – both in Russia and Ukraine.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;that is why we had a fruitful interaction with all, I emphasize, with ​all the leaders of Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;I charged the Russian government ​to elaborate options for preserving and maintaining our economic ties
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;there was and is still no mutual will ​to do the same
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Russia is still one of Ukraine's top three trading
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;hundreds of thousands of Ukrainians are coming to us to work
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;they find a welcome reception and support
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;that what the ”aggressor ​state“ is
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;many people in Russia and Ukraine sincerely believed ​and assumed that our close cultural, spiritual and economic ties would certainly ​last
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the commonality of our people
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;who had always had a sense ​of unity at their core
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;Ukraine's ruling circles decided to justify their country's ​independence through the denial of its past
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;justify their country's ​independence
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;They began to mythologize and rewrite history
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;edit out everything that united us
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;refer to the period when Ukraine was part of the Russian Empire ​and the Soviet Union as an occupation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The common tragedy of collectivization ​and famine of the early 1930s was portrayed as the genocide of the Ukrainian ​people
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;We, as the largest trade and economic partner of Ukraine, suggested ​discussing the emerging problems in the Ukraine-Russia-EU format
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;every ​time we were told that Russia had nothing to do with it and that the issue ​concerned only the EU and Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Western countries rejected ​Russia's repeated calls for dialogue
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the concept of ”Ukraine is not ​Russia“
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;a need for the ”anti-Russia“ concept ​which we will never accept
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;there is no need ​to deceive anyone that this is being done in the interests of the people ​of Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;historical Russian ​lands were mercilessly exploited and remained the poorest
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The Nazis, abetted ​by collaborators from the OUN-UPA, did not need Ukraine, but a living space ​and slaves for Aryan overlords
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;Nor were the interests of the Ukrainian people thought of in February 2014
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;legitimate public discontent, caused by acute socio-economic problems, ​mistakes, and inconsistent actions of the authorities of the time, was simply ​cynically exploited
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the things that united us and bring us together
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the Russian language
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the new ”Maidan“ ​authorities first tried to repeal the law on state language policy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;this is happening in a country, as I have already noted, that is very complex ​in terms of its territorial, national and linguistic composition, and its history ​of formation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;if you are talking about a single large nation, a triune ​nation, then what difference does it make who people consider themselves ​to be – Russians, Ukrainians, or Belarusians
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the fact is that the situation in Ukraine today is completely different because ​it involves a forced change of identity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the Russians in Ukraine are being forced not only to deny their roots, generations ​of their ancestors but also to believe that Russia is their enemy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the Russians in Ukraine are being forced not only to deny their roots, generations ​of their ancestors
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;to believe that Russia is their enemy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;forced assimilation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the formation ​of an ethnically pure Ukrainian state
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;artificial division of Russians and Ukrainians
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Our spiritual unity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the Ukrainian Orthodox Church while ​maintaining spiritual unity with the Moscow Patriarchate
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;For the Ukrainians who fought in the Red Army
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the Great ​Patriotic War was indeed a patriotic war
